id,codigo,descripcion,created_at,updated_at,fecdia,codmes
1,UND,Unidad,NULL,NULL,2025-12-09,202512
2,CJ,Caja,NULL,NULL,2025-12-09,202512
3,PQT,Paquete,NULL,NULL,2025-12-09,202512
4,KIT,Kit,NULL,NULL,2025-12-09,202512
5,PAR,Par,NULL,NULL,2025-12-09,202512
6,DOC,Docena,NULL,NULL,2025-12-09,202512
7,KG,Kilogramo,NULL,NULL,2025-12-09,202512
8,LT,Litro,NULL,NULL,2025-12-09,202512
9,GLN,Galón,NULL,NULL,2025-12-09,202512
10,MT,Metro,NULL,NULL,2025-12-09,202512
11,BLS,Bolsa,NULL,NULL,2025-12-09,202512
12,SCO,Saco,NULL,NULL,2025-12-09,202512
13,LTA,Lata,NULL,NULL,2025-12-09,202512
14,SBR,Sobre,NULL,NULL,2025-12-09,202512
15,BLD,Balde,NULL,NULL,2025-12-09,202512
16,RLL,Rollo,NULL,NULL,2025-12-09,202512
17,FRS,Frasco,NULL,NULL,2025-12-09,202512
18,BLT,Blíster,NULL,NULL,2025-12-09,202512
